DESIGNATION,RA,DEC
Hyades,66.725,15.8666667
Jewel Box,193.415,-60.371
30 Doradus,84.67665,-69.100933
30 Dor,84.67665,-69.100933
NGC 2070,84.675,-69.1
RMC 136,84.675,-69.1
Theta Orionis,83.825,-5.4
Orion's Sword,83.825,-5.4
Orion Nebula,83.825,-5.4
M33,23.4620690621800,30.66017511198
Triangulum Galaxy,23.4620690621800,30.66017511198
M 33,23.4620690621800,30.66017511198
M31,10.684708,41.26875
M 31,10.684708,41.26875
Andromeda Galaxy,10.684708,41.26875
Omega Centauri,201.69700,-47.47947
ome Cen,201.69700,-47.47947
NGC 5139,201.69700,-47.47947
Galactic Center,266.41681662,-29.00782497
Sgr A*,266.41681662,-29.00782497
Sagittarius A*,266.41681662,-29.00782497
Carina Nebula,161.25929,-59.69994
NGC 3372,161.25929,-59.69994
NGC 6752,287.71712,-59.98456 
47 Tucanae,6.022329,-72.081444
47 Tuc,6.022329,-72.081444
NGC 104,6.022329,-72.081444
NGC 6121,245.89675,-26.52575
M4,245.89675,-26.52575
M 4,245.89675,-26.52575
NGC 6397,265.17538,-53.67433
M81,148.88821939854,69.06529514038
M 81,148.88821939854,69.06529514038
Hoag's Object,229.31002860781,21.58551562657
IC 10,5.0965,59.29297 
UMi Dwarf,227.29725,67.21436
UMi Galaxy,227.29725,67.21436
Ursa Minor Dwarf Galaxy,227.29725,67.21436
UMi dSph,227.29725,67.21436
Sculptor Dwarf,15.0392,-33.7089
Scl dSph,15.0392,-33.7089
Sculptor Galaxy,15.0392,-33.7089
Sculptor Dwarf Galaxy,15.0392,-33.7089
Barnard's Galaxy,296.234163,-14.797581
NGC 6822,296.234163,-14.797581
M100,185.7288749973299,+15.8223045161000 
M 100,185.7288749973299,+15.8223045161000 
M101,210.802429,54.34875
M 101,210.802429,54.34875
SN 1987A,83.86675,-69.269742
SK -69 202,83.86675,-69.269742
Baade's Window,270.88,-30.02
Sgr I Window,269,-29
Sgr II Window,273,-27.9
NGC 3532,166.4170833,-58.70694444
Theta Carinae,160.7391748642,-64.3944502211
tet Car,160.7391748642,-64.3944502211
Caldwell 100,174.58333,-63.37278 
IC 2944,174.58333,-63.37278 
Running Chicken Nebula,174.58333,-63.37278 
NGC 6231,253.53546,-41.82667
Collinder 315,253.53546,-41.82667
M2,323.36258,-00.82325 
M 2,323.36258,-00.82325 
M24,274.2000,-18.5500
M 24,274.2000,-18.5500
M25,277.9370,-19.114
M 25,277.9370,-19.114
IC 4725,277.9370,-19.114
NGC 6530,271.1292,-24.3583 
NGC 6087,244.721,-57.916
NGC 4349,186.048,-61.866
NGC 2100,85.53,-69.207497
NGC 261,11.6313,-73.1044
NGC 269,12.09271,-73.53022
NGC 288,13.18850,-26.58261
NGC 1261,48.06754,-55.21622
Palomar 1,53.3335,+79.58106
NGC 1851,78.52817,-40.04656
Crab Pulsar,83.63311445609,22.01448713834
Crab Nebula,83.63311445609,22.01448713834
M1,83.63311445609,22.01448713834
M 1,83.63311445609,22.01448713834
NGC 6451,267.675,-30.206
Collinder 347,266.5950,-29.3250
M79,81.04413,-24.52425
M 79,81.04413,-24.52425
NGC 1904,81.04413,-24.52425
NGC 2298,102.24754,-36.00531
NGC 2419,114.53546,38.88192
NGC 2808,138.01292,-64.8635
E 3,140.23779,-77.28189
E3,140.23779,-77.28189
NGC 3201,154.40342,-46.41247
NGC 4147,182.525621,18.542161
NGC 4372,186.43929,-72.65908
M68,189.86658,-26.74406
M 68,189.86658,-26.74406
NGC 4590,189.86658,-26.74406
NGC 4833,194.89133,-70.87650
M53,198.23021,+18.16817
NGC 5024,198.23021,+18.16817
M 53,198.23021,+18.16817
NGC 5053,199.11287,+17.70025
M3,205.54842,+28.37728
NGC 5272,205.54842,+28.37728
M 3,205.54842,+28.37728
NGC 5286,206.61171,-51.37425
IC 10,5.09650,+59.29297
NGC 5466,211.36371,+28.53444
NGC 5634,217.40533,-05.97642
NGC 5694,219.90217,-26.53833
IC 4499,225.07738,-82.21378
Cygnus X-1,299.5903155649800,+35.20160680908
Cyg X-1,299.59031556498,35.20160680908
X Aquilae X-1,287.81690471389,0.58496339797
X Aql X-1,287.81690471389,.58496339797
HZ Herculis,254.45754588609,+35.34235737652
HZ Her,254.45754588609,+35.34235737652
V821 Arae,255.7057818297000,-48.7897466540400 
TW Hydrae,165.4662722021100,-34.7047314495500
V818 Scorpii,244.9794552787600,-15.640282685150
Vela X-1,135.5285870053600,-40.5546942133500
T Tauri,065.4976332808300,+19.5351201092600 
HL Tauri,067.9104615038800,+18.2327388188800 
SS Cygni,325.6783477073300,+43.5860744006900 
P Cygni,304.4466753517,+38.0329313122 
V711 Tauri,054.1970462645658,0.5877608228178 
Cat's Eye Nebula,269.6391831613700,+66.6329863150000 
Proxima Centauri,217.4289422216058,-62.6794901890756 
V1341 Cygni,326.1714768105300,+38.3214073808300 
V381 Normae,237.7444324669600,-56.4764606625000 
U Geminorum,118.7718018394775,+22.0014011466625 
V616 Monocerotis,095.6855932738800,-00.3456362390400 
V376 Pegasi,330.7948864438800,+18.8843192759400 
Copernicus,133.1492129350179,+28.3308208317972 
Krzeminski's Star,170.3128835552200,-60.6237861846100 
ZZ Leporis,081.8675248056500,-12.6973006354900 
IC 418,081.8675248056500,-12.6973006354900 
V342 Pegasi,346.8696488373100,+21.1342529909700 
AU Microscopii,311.2897187392163,-31.3408994138447 
AB Aurigae,073.9410245550900,+30.5511922436200 
DQ Herculis,271.8760459966100,+45.8590457755200 
DG Tauri,066.7695505316200,+26.1044611581300 
V353 Aurigae,070.7234341802500,+36.1148335839500 
AB Doradus,082.1869634024500,-65.4486664297800 
RS Ophiuchi,267.5548297854000,-06.7079113138300 
X Persei,058.8461572733700,+31.0458443989300 
Ve 1-6,269.0887007713200,-21.9560755052800 
